xi,x_orig_mm,y_orig_mm,x_bumped_mm,y_bumped_mm,s_mm,h_mm
0.02275568892,-429.9868344,-2.451414071,-429.9868344,-2.451414071,30.24595125,0
0.02288072018,-429.8770834,-2.395760235,-429.8770834,-2.395760235,30.36900259,0
0.02300575144,-429.7673253,-2.340239489,-429.7673253,-2.340239489,30.49201887,0
0.0231307827,-429.6575604,-2.28484753,-429.6575604,-2.28484753,30.61495564,0
0.02325581395,-429.547789,-2.229580054,-429.547789,-2.229580054,30.73785731,0
0.02338084521,-429.4380112,-2.174432758,-429.4380112,-2.174432758,30.86071544,0
0.02350587647,-429.3282274,-2.11940134,-429.3282274,-2.11940134,30.98351095,0
0.02363090773,-429.2184376,-2.064481497,-429.2184376,-2.064481497,31.10627799,0
0.02375593898,-429.1086422,-2.009668925,-429.1086422,-2.009668925,31.22899284,0
0.02388097024,-428.9988414,-1.954959323,-428.9988414,-1.954959323,31.35166577,0
0.0240060015,-428.8890354,-1.900348386,-428.8890354,-1.900348386,31.474313,0
0.02413103276,-428.7792244,-1.845831813,-428.7792244,-1.845831813,31.59690293,0
0.02425606402,-428.6694086,-1.7914053,-428.6694086,-1.7914053,31.7194679,0
0.02438109527,-428.5595883,-1.737064544,-428.5595883,-1.737064544,31.84200217,0
0.02450612653,-428.4497638,-1.682805257,-428.4497638,-1.682805257,31.96449285,0
0.02463115779,-428.3399351,-1.628624622,-428.3399351,-1.628624622,32.08696339,0
0.02475618905,-428.2301022,-1.574522501,-428.2301022,-1.574522501,32.20939667,0
0.02488122031,-428.1202652,-1.52049904,-428.1202652,-1.52049904,32.33179772,0
0.02500625156,-428.0104241,-1.466554387,-428.0104241,-1.466554387,32.45417889,0
0.02513128282,-427.9005788,-1.412688691,-427.9005788,-1.412688691,32.57651288,0
0.02525631408,-427.7907293,-1.358902097,-427.7907293,-1.358902097,32.69882449,0
0.02538134534,-427.6808756,-1.305194754,-427.6808756,-1.305194754,32.82110878,0
0.02550637659,-427.5710178,-1.251566809,-427.5710178,-1.251566809,32.94335076,0
0.02563140785,-427.4611558,-1.198018408,-427.4611558,-1.198018408,33.06557281,0
0.02575643911,-427.3512895,-1.144549701,-427.3512895,-1.144549701,33.18775759,0
0.02588147037,-427.2414191,-1.091160833,-427.2414191,-1.091160833,33.30990992,0
0.02600650163,-427.1315444,-1.037851953,-427.1315444,-1.037851953,33.43204231,0
0.02613153288,-427.0216655,-0.9846232074,-427.0216655,-0.9846232074,33.55412745,0
0.02625656414,-426.9117824,-0.9314747439,-426.9117824,-0.9314747439,33.67619002,0
0.0263815954,-426.8018951,-0.8784067099,-426.8018951,-0.8784067099,33.79822529,0
0.02650662666,-426.6920035,-0.8254192528,-426.6920035,-0.8254192528,33.920218,0
0.02663165791,-426.5821076,-0.7725125198,-426.5821076,-0.7725125198,34.04219073,0
0.02675668917,-426.4722075,-0.7196866585,-426.4722075,-0.7196866585,34.16412616,0
0.02688172043,-426.3623031,-0.6669418162,-426.3623031,-0.6669418162,34.28602895,0
0.02700675169,-426.2523945,-0.6142781402,-426.2523945,-0.6142781402,34.40791173,0
0.02713178295,-426.1424815,-0.561695778,-426.1424815,-0.561695778,34.52974722,0
0.0272568142,-426.0325643,-0.5091948769,-426.0325643,-0.5091948769,34.65155999,0
0.02738184546,-425.9226428,-0.4567755842,-425.9226428,-0.4567755842,34.77334548,0
0.02750687672,-425.8127169,-0.4044380475,-425.8127169,-0.4044380475,34.89508819,0
0.02763190798,-425.7027867,-0.352182414,-425.7027867,-0.352182414,35.01681087,0
0.02775693923,-425.5928522,-0.3000088312,-425.5928522,-0.3000088312,35.13849626,0
0.02788197049,-425.4829134,-0.2479174463,-425.4829134,-0.2479174463,35.26014882,0
0.02800700175,-425.3729703,-0.1959084069,-425.3729703,-0.1959084069,35.38178133,0
0.02813203301,-425.2630227,-0.1439818602,-425.2630227,-0.1439818602,35.50336654,0
0.02825706427,-425.1530709,-0.09213795367,-425.1530709,-0.09213795367,35.62492888,0
0.02838209552,-425.0431146,-0.04037683467,-425.0431146,-0.04037683467,35.74646397,0
0.02850712678,-424.933154,0.01130134943,-424.933154,0.01130134943,35.8679561,0
0.02863215804,-424.8231891,0.06289645125,-424.8231891,0.06289645125,35.98942815,0
0.0287571893,-424.7132197,0.1144083234,-424.7132197,0.1144083234,36.11086294,0
0.02888222056,-424.6032459,0.1658368185,-424.6032459,0.1658368185,36.23226475,0
0.02900725181,-424.4932678,0.2171817892,-424.4932678,0.2171817892,36.35364646,0
0.02913228307,-424.3832852,0.2684430881,-424.3832852,0.2684430881,36.47498089,0
0.02925731433,-424.2732982,0.3196205678,-424.2732982,0.3196205678,36.59629232,0
0.02938234559,-424.1633068,0.370714081,-424.1633068,0.370714081,36.71757655,0
0.02950737684,-424.0533109,0.4217234803,-424.0533109,0.4217234803,36.83881766,0
